"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Area total","num Area rptg","over votes","under votes"
228,"Crowley County School District RE-1J Ballot Issue 3A (Vote For 1)","No","",433,53.99,4436,1838,2,2,"0","0"
229,"Crowley County School District RE-1J Ballot Issue 3B (Vote For 1)","Yes","",402,50.19,4436,1838,2,2,"0","0"
230,"Crowley County School District RE-1J Ballot Issue 3B (Vote For 1)","No","",399,49.81,4436,1838,2,2,"0","0"
231,"Estes Park School District R-3 Ballot Issue 3A (Vote For 1)","Yes","",2314,52.47,251257,181597,2,2,"0","0"
232,"Estes Park School District R-3 Ballot Issue 3A (Vote For 1)","No","",2096,47.53,251257,181597,2,2,"0","0"
233,"Fremont RE-2 School District Ballot Question 3C (Vote For 1)","Yes/For","",1466,58.97,430399,160541,3,3,"0","0"
234,"Fremont RE-2 School District Ballot Question 3C (Vote For 1)","No/Against","",1020,41.03,430399,160541,3,3,"0","0"
235,"Haxtun School District RE-2J Ballot Issue 3A (Vote For 1)","Yes/For","",347,57.55,20488,8790,4,4,"0","0"
236,"Haxtun School District RE-2J Ballot Issue 3A (Vote For 1)","No/Against","",256,42.45,20488,8790,4,4,"0","0"
237,"Manzanola School District 3J Ballot Issue 3C (Vote For 1)","Yes","",161,41.18,11627,5205,2,2,"0","0"
238,"Manzanola School District 3J Ballot Issue 3C (Vote For 1)","No","",230,58.82,11627,5205,2,2,"0","0"
239,"Peyton School District 23JT Ballot Question 3G (Vote For 1)","Yes","",612,50.41,415891,152141,2,2,"0","0"
240,"Peyton School District 23JT Ballot Question 3G (Vote For 1)","No","",602,49.59,415891,152141,2,2,"0","0"
241,"Peyton School District 23JT Ballot Question 3H (Vote For 1)","Yes","",454,38.57,415891,152141,2,2,"0","0"
242,"Peyton School District 23JT Ballot Question 3H (Vote For 1)","No","",723,61.43,415891,152141,2,2,"0","0"
243,"Sangre De Cristo RE-22J School District Ballot Question 3A (Vote For 1)","Yes/For","",70,25.18,13969,4702,2,2,"0","0"
244,"Sangre De Cristo RE-22J School District Ballot Question 3A (Vote For 1)","No/Against","",208,74.82,13969,4702,2,2,"0","0"
245,"Weld County School District RE-10J Ballot Issue 3B (Vote For 1)","Yes/For","",87,49.71,197441,54205,2,2,"0","0"
246,"Weld County School District RE-10J Ballot Issue 3B (Vote For 1)","No/Against","",88,50.29,197441,54205,2,2,"0","0"
247,"Bennett Fire Protection District No. 7 Ballot Issue 4D (Vote For 1)","Yes","",877,50.11,613863,155584,2,2,"0","0"
248,"Bennett Fire Protection District No. 7 Ballot Issue 4D (Vote For 1)","No","",873,49.89,613863,155584,2,2,"0","0"
249,"Carbondale & Rural Fire Protection District Ballot Issue 4C (Vote For 1)","Yes/For","",2141,66.89,31354,17513,3,3,"0","0"
250,"Carbondale & Rural Fire Protection District Ballot Issue 4C (Vote For 1)","No/Against","",1060,33.11,31354,17513,3,3,"0","0"
251,"Colorado Mountain College Ballot Issue 4B (Vote For 1)","Yes/For","",17383,46.87,111830,39867,6,6,"0","0"
252,"Colorado Mountain College Ballot Issue 4B (Vote For 1)","No/Against","",19705,53.13,111830,39867,6,6,"0","0"
253,"Durango Fire Protection District Ballot Question 4A (Vote For 1)","Yes/For","",3370,70.19,40793,10859,2,2,"0","0"
254,"Durango Fire Protection District Ballot Question 4A (Vote For 1)","No/Against","",1431,29.81,40793,10859,2,2,"0","0"
255,"Grand River Hospital District Ballot Issue 4A (Vote For 1)","Yes/For","",3316,66.21,127200,57504,2,2,"0","0"
256,"Grand River Hospital District Ballot Issue 4A (Vote For 1)","NO/ AGAINST","",1692,33.79,127200,57504,2,2,"0","0"
257,"Green Mountain Falls - Chipita Park Fire Protection District Ballot Issue 4A (Vote For 1)","Yes","",484,85.36,399874,147426,2,2,"0","0"
258,"Green Mountain Falls - Chipita Park Fire Protection District Ballot Issue 4A (Vote For 1)","No","",83,14.64,399874,147426,2,2,"0","0"
259,"Holyoke Fire Protection District Ballot Issue 5A (Vote For 1)","Yes/For","",205,50.37,4974,2254,2,2,"0","0"
260,"Holyoke Fire Protection District Ballot Issue 5A (Vote For 1)","No/Against","",202,49.63,4974,2254,2,2,"0","0"
261,"Sable-Altura Fire Protection District Ballot Issue 4E (Vote For 1)","Yes","",123,54.67,613863,155584,2,2,"0","0"
262,"Sable-Altura Fire Protection District Ballot Issue 4E (Vote For 1)","No","",102,45.33,613863,155584,2,2,"0","0"
263,"South Suburban Park and Recreation District Ballot Issue 4B (Vote For 1)","Yes","",31435,79.06,1010929,316483,3,3,"0","0"
264,"South Suburban Park and Recreation District Ballot Issue 4B (Vote For 1)","No","",8325,20.94,1010929,316483,3,3,"0","0"
265,"South Suburban Park and Recreation District Ballot Issue 4C (Vote For 1)","Yes","",27612,69.55,1010929,316483,3,3,"0","0"
266,"South Suburban Park and Recreation District Ballot Issue 4C (Vote For 1)","No","",12089,30.45,1010929,316483,3,3,"0","0"
267,"Strasburg Fire Protection District No. 8 Ballot Issue 4F (Vote For 1)","Yes","",548,50.93,613863,155584,2,2,"0","0"
268,"Strasburg Fire Protection District No. 8 Ballot Issue 4F (Vote For 1)","No","",528,49.07,613863,155584,2,2,"0","0"
269,"Valley Sanitation District Ballot Issue 4A (Vote For 1)","Yes","",1053,67.16,801186,234409,2,2,"0","0"
270,"Valley Sanitation District Ballot Issue 4A (Vote For 1)","No","",515,32.84,801186,234409,2,2,"0","0"
